id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58,:@computed_region_8hcu_yrd4,hour,st_cluster
14121769,JK161712,2026-02-21 03:51:00,012XX N DEARBORN ST,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1824,018,2,8,06,1175706,1908710,2026,2026-03-01T16:09:12.000,41.904871691,-87.630014558,"{'latitude': '41.904871691', 'longitude': '-87.630014558', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",22,14926,37,17,11,54,14,197,2,3,1
14117254,JK157168,2026-02-21 03:49:00,032XX N BROADWAY,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,1925,019,44,6,06,1171684,1921595,2026,2026-03-01T16:09:12.000,41.940318272,-87.644408194,"{'latitude': '41.940318272', 'longitude': '-87.644408194', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",38,4449,57,730,25,22,5,18,44,3,1
14117199,JK157152,2026-02-21 03:48:00,018XX N ROCKWELL ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,1421,014,1,22,14,1158749,1912031,2026,2026-03-01T16:09:12.000,41.914349393,-87.692211425,"{'latitude': '41.914349393', 'longitude': '-87.692211425', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24,22535,23,180,41,1,7,192,1,3,1
14117220,JK157161,2026-02-21 03:47:00,024XX W FLOURNOY ST,0460,BATTERY,SIMPLE,APARTMENT,True,False,1135,011,28,28,08B,1160297,1896963,2026,2026-03-01T16:09:12.000,41.872969638,-87.686941354,"{'latitude': '41.872969638', 'longitude': '-87.686941354', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",48,21184,29,756,23,28,16,146,28,3,1
14117214,JK157157,2026-02-21 03:47:00,015XX E 66TH PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,0321,003,5,42,08B,1187587,1861204,2026,2026-03-01T16:09:12.000,41.774237155,-87.587887355,"{'latitude': '41.774237155', 'longitude': '-87.587887355', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",32,22260,9,134,33,60,18,206,3,3,1
14117570,JK157711,2026-02-21 03:45:00,027XX W ROOSEVELT RD,0810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1135,011,28,29,06,1158071,1894595,2026,2026-03-01T16:09:12.000,41.866517317,-87.695178701,"{'latitude': '41.866517317', 'longitude': '-87.695178701', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,14920,30,16,23,43,21,151,28,3,1
14117213,JK157162,2026-02-21 03:42:00,056XX S MEADE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,0811,008,13,56,07,1136674,1866512,2026,2026-03-01T16:09:12.000,41.789862697,-87.77440108,"{'latitude': '41.789862697', 'longitude': '-87.77440108', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",35,22268,53,590,15,7,13,131,13,3,-1
14117203,JK157159,2026-02-21 03:42:00,032XX S PRINCETON AVE,0553,ASSAULT,AGGRAVATED POLICE OFFICER - OTHER DANGEROUS WEAPON,STREET,False,False,0915,009,11,34,04A,1174817,1883418,2026,2026-03-01T16:09:12.000,41.83548874,-87.63403694,"{'latitude': '41.83548874', 'longitude': '-87.63403694', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",26,21194,35,376,48,40,23,170,7,3,1
14117192,JK157150,2026-02-21 03:39:00,064XX N SHERIDAN RD,0820,THEFT,$500 AND UNDER,GROCERY FOOD STORE,False,False,2432,024,49,1,06,1167277,1942715,2026,2026-03-01T16:09:12.000,41.998368301,-87.65999524,"{'latitude': '41.998368301', 'longitude': '-87.65999524', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,21853,10,267,5,9,11,41,49,3,0
14117655,JK157710,2026-02-21 03:30:00,012XX N MILWAUKEE AVE,031B,ROBBERY,ARMED - OTHER FIREARM,CTA TRAIN,False,False,1424,014,1,24,03,1165712,1908139,2026,2026-03-01T16:09:12.000,41.90352381,-87.66674162,"{'latitude': '41.90352381', 'longitude': '-87.66674162', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24,22620,25,483,11,49,7,191,1,3,1
14121201,JK161241,2026-02-21 03:30:00,014XX W LAKE ST,0870,THEFT,POCKET-PICKING,BAR OR TAVERN,False,False,1224,012,27,28,06,1166633,1901539,2026,2026-03-01T16:09:12.000,41.885393253,-87.663547848,"{'latitude': '41.885393253', 'longitude': '-87.663547848', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,14917,29,63,46,44,15,92,27,3,1
14117229,JK157148,2026-02-21 03:28:00,046XX N CLIFTON AVE,1020,ARSON,BY FIRE,RESIDENCE,False,False,1913,019,46,3,09,1167678,1930890,2026,2026-03-01T16:09:12.000,41.965911528,-87.65886264,"{'latitude': '41.965911528', 'longitude': '-87.65886264', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",37,22616,31,241,39,15,5,6,46,3,0
14120921,JK161783,2026-02-21 03:27:00,030XX S WELLS ST,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,False,False,0914,009,11,34,06,1175112,1884817,2026,2026-03-01T16:09:12.000,41.839321114,-87.632912639,"{'latitude': '41.839321114', 'longitude': '-87.632912639', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",26,21194,35,346,48,40,23,157,7,3,1
14117222,JK157146,2026-02-21 03:24:00,033XX W ARTHINGTON ST,0498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,False,True,1134,011,24,29,04B,1154345,1895847,2026,2026-03-01T16:09:12.000,41.870028132,-87.708823855,"{'latitude': '41.870028132', 'longitude': '-87.708823855', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",36,21572,28,36,14,30,16,140,24,3,1
