date,primary_type,latitude,longitude,location_description,arrest,year
2026-01-24 12:30:00,theft,41.722362598,-87.58382047,PARKING LOT / GARAGE (NON RESIDENTIAL),False,2026
2026-01-24 12:28:00,criminal trespass,41.944585867,-87.663950526,BANK,False,2026
2026-01-24 12:25:00,theft,41.75095414,-87.571093901,APARTMENT,False,2026
2026-01-24 12:20:00,battery,41.853647879,-87.633196819,COMMERCIAL / BUSINESS OFFICE,False,2026
2026-01-24 12:20:00,theft,41.750490827,-87.654302474,SMALL RETAIL STORE,False,2026
2026-01-24 12:15:00,deceptive practice,41.809445968,-87.67496226,ATHLETIC CLUB,False,2026
2026-01-24 12:10:00,theft,41.931582515,-87.742747165,DEPARTMENT STORE,False,2026
2026-01-24 12:08:00,theft,41.910723622,-87.67800053,DEPARTMENT STORE,False,2026
2026-01-24 12:05:00,other offense,41.83838317,-87.620519278,STREET,True,2026
2026-01-24 12:05:00,theft,41.882429735,-87.627844406,SMALL RETAIL STORE,True,2026
2026-01-24 12:00:00,deceptive practice,41.964153817,-87.662366893,APARTMENT,False,2026
2026-01-24 12:00:00,sex offense,41.876414802,-87.690075472,RESIDENCE,False,2026
2026-01-24 12:00:00,burglary,41.930871914,-87.650713252,STREET,False,2026
2026-01-24 12:00:00,assault,41.9764212,-87.904976266,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,False,2026
2026-01-24 12:00:00,burglary,41.884090949,-87.659532917,STREET,False,2026
2026-01-24 12:00:00,theft,41.886759925,-87.650507318,STREET,False,2026
2026-01-24 12:00:00,deceptive practice,41.704466642,-87.64154488,OTHER (SPECIFY),False,2026
2026-01-24 11:57:00,motor vehicle theft,41.730370862,-87.614369262,STREET,False,2026
2026-01-24 11:55:00,theft,41.993043969,-87.660360363,CONVENIENCE STORE,False,2026
2026-01-24 11:50:00,deceptive practice,41.927968665,-87.644761576,,False,2026
2026-01-24 11:46:00,theft,41.93859561,-87.649576033,DEPARTMENT STORE,False,2026
2026-01-24 11:30:00,theft,41.997446578,-87.706071279,PARKING LOT / GARAGE (NON RESIDENTIAL),False,2026
2026-01-24 11:30:00,criminal trespass,41.902939655,-87.695308383,RESTAURANT,False,2026
2026-01-24 11:30:00,robbery,41.767994718,-87.575430326,SIDEWALK,False,2026
2026-01-24 11:30:00,battery,41.886288459,-87.769969735,RESIDENCE,False,2026
2026-01-24 11:30:00,other offense,41.686451337,-87.638563772,RESIDENCE,False,2026
2026-01-24 11:30:00,theft,41.863883324,-87.709250772,STREET,False,2026
2026-01-24 11:22:00,narcotics,41.885720773,-87.747018429,STREET,True,2026
2026-01-24 11:20:00,battery,41.809396821,-87.69791009,APARTMENT,True,2026
2026-01-24 11:20:00,motor vehicle theft,41.70661765,-87.594290476,PARKING LOT / GARAGE (NON RESIDENTIAL),False,2026
2026-01-24 11:20:00,assault,41.907153315,-87.639680572,APARTMENT,False,2026
2026-01-24 11:18:00,battery,41.756596866,-87.573647633,SIDEWALK,False,2026
2026-01-24 11:16:00,battery,41.660052743,-87.642532776,RESIDENCE,False,2026
2026-01-24 11:07:00,theft,41.939566852,-87.724623088,CONVENIENCE STORE,False,2026
